camera	¿qué estás viendo?
camera	¿qué ves?
camera	¿hay alguien en casa?
camera	¿hay alguien afuera?
camera	¿quién está en la puerta?
camera	¿qué está pasando afuera?
camera	¿hay movimiento?
camera	¿está llegando alguien?
camera	¿qué hay en el patio?
camera	¿qué se ve por la cámara?
camera	¿quién llegó?
camera	¿está el cartero?
camera	¿hay alguien en el jardín?
camera	¿qué se ve en la cámara 2?
camera	muéstrame la cámara 3
camera	¿qué se ve en la cámara 5?
camera	¿qué se ve en la cámara del garaje?
camera	¿qué se ve en la cámara de la puerta?
camera	¿quién toca la puerta?
camera	¿alguien tocó el timbre?
camera	¿está mi carro en la entrada?
camera	¿dónde está el perro?
camera	¿qué se ve en el patio trasero?
camera	¿qué se ve en el frente de la casa?
camera	checa la cámara 4
camera	what are you seeing?
camera	what do you see?
camera	is anyone home?
camera	is anyone outside?
camera	who is at the door?
camera	what is happening outside?
camera	is there movement?
camera	is someone coming?
camera	what is in the backyard?
camera	who just arrived?
camera	is the mailman here?
camera	is anyone in the garden?
camera	what's on camera 2?
camera	show me camera 3
camera	what's on camera 5?
camera	what's on the garage camera?
camera	what's on the door camera?
camera	who rang the doorbell?
camera	is my car in the driveway?
camera	where is the dog?
camera	what's in the backyard?
camera	check camera 4
camera	¿qué se ve en la camara 2?
camera	muestrame la camara 3
camera	que ves
camera	hay alguien afuera
camera	que esta pasando afuera
memory_save	recuerda que mi hermana viene los domingos
memory_save	anota que llegó el paquete
memory_save	no olvides que la puerta se cierra con llave
memory_save	ten en cuenta que soy alérgico a los frutos secos
memory_save	recuérdame que la reunión es a las 3
memory_save	apunta que el coche necesita gasolina
memory_save	guarda que el código del portón es 1234
memory_save	toma nota que el jardín se riega los martes
memory_save	recuerda que el wifi se cae cada semana
memory_save	anota que el técnico viene mañana
memory_save	remember that my sister comes on sundays
memory_save	note that the package arrived
memory_save	don't forget that the dog eats at 7
memory_save	keep in mind that I'm allergic to peanuts
memory_save	remind me that the meeting is at 3
memory_save	write down that the car needs gas
memory_save	save that the gate code is 1234
memory_save	take note that the garden is watered on tuesdays
memory_save	remember that the wifi drops every week
memory_save	note that the technician is coming tomorrow
none	¿qué hora es?
none	cuéntame un chiste
none	¿qué tiempo hará mañana?
none	¿cuándo viene mi hermana?
none	¿cómo se llama mi perro?
none	what time is it?
none	tell me a joke
none	what's the weather forecast for tomorrow?
none	when is my sister coming?
none	what's my dog's name?
none	el clima está agradable hoy
none	la alarma se activa a las 10
none	hola argus
none	salir
none	¿qué día es hoy?
none	pon música
none	enciende la luz de la cocina
none	¿me recomiendas una cámara para comprar?
none	la cámara de mi teléfono no funciona
none	¿dónde están mis llaves?
none	¿cuál es el código postal?
camera	¿ya llegó mi hermana?
camera	did my sister arrive?
camera	¿ya llegó alguien a la casa?
camera	did anybody get home yet?
none	¿qué le gusta comer a ana?
none	¿a qué hora cierra el supermercado?
none	¿hace frío afuera?
none	is it cold outside?
none	¿qué película me recomiendas?
none	what movie do you recommend?
